SimTime,OUT[21:0]
5,0000000000000000000000
325,0000000000000000000000
645,1111111111000011000110
965,1111101110111100111000
1285,0000000000000000110100
1605,1110111010010111010100
1925,0000000001100101010110
2245,1110110000101000001100
2565,0000000010011101010110
2885,1110110000101001100100
3205,0000000011100101111000
3525,1110110000101101110100
3845,0000000100011111001100
4165,1110110000110001001100
4485,0000000101011110001000
4805,1110110000111001110100
5125,0000000110011010001110
5445,1110110000111011001000
5765,0000000111011011100110
6085,1110110001000100011000
6405,0000001000010011011110
6725,1110110001000010000100
7045,0000001001011000101010
7365,1110110001001101000000
7685,0000001010010000100010
8005,1110110001011000001000
8325,0000001011010011010010
8645,1110110001010111011100
8965,0000001100001101100100
9285,1110110001101010011100
9605,0000001101001011001110
9925,1110110001110000010000
10245,0000001110001111010010
10565,1110110001111000100000
10885,0000001111000101000110
11205,1110110010000110011100
11525,0000010000000101010010
11845,1110110010010101110000
12165,0000010000111011100000
12485,1110110010100000010000
12805,0000010010000001000110
13125,1110110010101001101100
13445,0000010010110111011110
13765,1110110011000011100000
14085,0000010011110101110100
14405,1110110011001011001100
14725,0000010100110101010100
15045,1110110011011000001000
15365,0000010101101101001110
15685,1110110011101010001100
16005,0000010110101100100000
16325,1110110100000000100100
16645,0000010111100100110100
16965,1110110100001100011100
17285,0000011000100001100100
17605,1110110100100011111000
17925,0000011001011111110100
18245,1110110100111000010100
18565,0000011010011001010000
18885,1110110101001110010000
19205,0000011011010000000010
19525,1110110101011010110000
19845,0000011100001100101000
20165,1110110101110100110000
20485,0000011101000111001100
20805,1110110110001010101100
21125,0000011101111111011100
21445,1110110110100011001100
21765,0000011110111010010110
22085,1110110111000001101000
22405,0000011111110011010000
22725,1110110111001101001100
23045,0000100000101000011010
23365,1110110111101110001100
23685,0000100001101010010100
24005,1110111000000110001000
24325,0000100010011010001110
24645,1110111000100110101100
24965,0000100011011011010100
25285,1110111000111001100100
25605,0000100100001001001100
25925,1110111001011001011100
26245,0000100101000101110110
26565,1110111001110011100100
26885,0000100101111011010100
27205,1110111010010100101100
27525,0000100110101111101000
27845,1110111010110000111000
28165,0000100111101010010110
28485,1110111011010011001000
28805,0000101000011101010000
29125,1110111011101110101100
29445,0000101001010100000010
29765,1110111100010101110100
30085,0000101010001000001100
30405,1110111100101111101100
30725,0000101011000000100010
31045,1110111101001111001100
31365,0000101011101011110110
31685,1110111101110100011000
32005,0000101100100001100100
32325,1110111110011001111000
32645,0000101101011100010110
32965,1110111110110100100100
33285,0000101110000110000110
33605,1110111111100001000000
33925,0000101111000001111100
34245,1111000000000100100100
34565,0000101111101111110000
34885,1111000000100001000000
35205,0000110000100010100100
35525,1111000001010010100100
35845,0000110001010010011000
36165,1111000001110110010000
36485,0000110010000010010000
36805,1111000010011001100100
37125,0000110010110100111010
37445,1111000011000101001100
37765,0000110011011101011110
38085,1111000011101000110000
38405,0000110100010100110000
38725,1111000100010101011100
39045,0000110100111011101100
39365,1111000100111110010100
39685,0000110101110000110000
40005,1111000101100100100000
40325,0000110110011011010110
40645,1111000110010000101100
40965,0000110111001010101000
41285,1111000110111011110100
41605,0000110111110011111000
41925,1111000111101001100100
42245,0000111000011110011000
42565,1111001000010011010100
42885,0000111001010001010000
43205,1111001001000100010100
43525,0000111001110101100000
43845,1111001001101101111000
44165,0000111010101000000100
44485,1111001010011000110000
44805,0000111011000111111100
45125,1111001011001011111100
45445,0000111011110110001010
45765,1111001011111001000000
46085,0000111100011101010010
46405,1111001100100110011100
46725,0000111101000100100010
47045,1111001101011001111000
47365,0000111101101111001000
47685,1111001110000110100100
48005,0000111110010011011110
48325,1111001110111011100100
48645,0000111110111100100010
48965,1111001111100111111100
49285,0000111111011101110110
49605,1111010000011001000100
49925,0001000000001010000010
50245,1111010001010000110000
50565,0001000000100100111010
50885,1111010001111100010100
51205,0001000001001110001110
51525,1111010010110100010000
51845,0001000001101111100100
52165,1111010011100111110000
52485,0001000010010110011110
52805,1111010100011001010100
53125,0001000010110101111100
53445,1111010101010001000100
53765,0001000011010111011100
54085,1111010110000101110000
54405,0001000011110011110110
54725,1111010110110111110000
55045,0001000100010110000010
55365,1111010111101101010000
55685,0001000100111000001010
56005,1111011000100000011100
56325,0001000101010011101010
56645,1111011001100000100000
56965,0001000101110100010110
57285,1111011010001010000100
57605,0001000110010000101010
57925,1111011011001010110100
58245,0001000110101100110010
58565,1111011011111111111000
58885,0001000111000110101010
59205,1111011100110110001000
59525,0001000111101001110110
59845,1111011101110010010100
60165,0001000111111010110010
60485,1111011110100110011100
60805,0001001000011001110100
61125,1111011111100010011100
61445,0001001000110001101100
61765,1111100000010011100100
62085,0001001001000110010110
62405,1111100001010110011100
