SimTime,OUT1[23:0]
1,000000000000000000000000
1281,000000000000000000000000
2561,111111111110011100011110
3841,000000000011011011010110
5121,000000001100001101011000
6401,000000010100000010001010
7681,000000011011110011111110
8961,000000100011100001001100
10241,000000101011001110101100
11521,000000110010111101010110
12801,000000111010101001011100
14081,000001000010010000101010
15361,000001001001110101000000
16641,000001010001011011010010
17921,000001011000111011101010
19201,000001100000010111100110
20481,000001100111110000001000
21761,000001101111000110010010
23041,000001110110010110110100
24321,000001111101100001110000
25601,000010000100101001100100
26881,000010001011101101001000
28161,000010010010101010010000
29441,000010011001100001000100
30721,000010100000010001010100
32001,000010100110111101110010
33281,000010101101011111101000
34561,000010110011111110111100
35841,000010111010011001011000
37121,000011000000100110010110
38401,000011000110110010100100
39681,000011001100101111000010
40961,000011010010100110100100
42241,000011011000011001100100
43521,000011011110000010111110
44801,000011100011100001100110
46081,000011101000111000010000
47361,000011101110000111011100
48641,000011110011001100001000
49921,000011111000001000010010
51201,000011111100111011000000
52481,000100000001100010011100
53761,000100000101111110010010
55041,000100001010011000000100
56321,000100001110011100111010
57601,000100010010011100110100
58881,000100010110010011011100
60161,000100011001111101100010
61441,000100011101011101101110
62721,000100100000110001001110
64001,000100100011111001111000
65281,000100100110111000010000
66561,000100101001101100100010
67841,000100101100010011000000
69121,000100101110101010101110
70401,000100110001000000011010
71681,000100110011000010111110
72961,000100110100110101011100
74241,000100110110100101111010
75521,000100111000001000000110
76801,000100111001011011000010
78081,000100111010100011001100
79361,000100111011100000010010
80641,000100111100010000010100
81921,000100111100110011100010
83201,000100111101001001101000
84481,000100111101010110011000
85761,000100111101010101011100
87041,000100111101000111001100
88321,000100111100101111000010
89601,000100111100001010111110
90881,000100111011010111101110
92161,000100111010011010011000
93441,000100111001010000001010
94721,000100110111111010100110
96001,000100110110010111101010
97281,000100110100100110110000
98561,000100110010110010000010
99841,000100110000101001011000
101121,000100101110011010110110
102401,000100101011111001111100
103681,000100101001010001100100
104961,000100100110011110110000
106241,000100100011011111011000
107521,000100100000010011111000
108801,000100011100111110010110
110081,000100011001011011111010
111361,000100010101110011001100
