SimTime,OUT1[10:0]
1,00000000000
41,00000000000
81,00000000000
121,00000000000
161,00000000000
201,00000001000
241,00000000000
281,11111111000
321,00000010000
361,11111110000
401,00000001000
441,00000000000
481,11111111000
521,00000010000
561,00000001000
601,11111111000
641,00000000000
681,00000010000
721,00000000000
761,00000000000
801,00000001000
841,00000001000
881,11111111000
921,00000001000
961,00000010000
1001,00000001000
1041,00000000000
1081,11111111000
1121,00000010000
1161,00000001000
1201,00000001000
1241,00000000000
1281,00000001000
1321,00000001000
1361,00000010000
1401,00000001000
1441,00000001000
1481,00000001000
1521,00000000000
1561,00000001000
1601,00000010000
1641,00000001000
1681,00000001000
1721,00000010000
1761,00000001000
1801,00000001000
1841,00000010000
1881,00000000000
1921,00000000000
1961,00000011000
2001,00000001000
2041,00000010000
2081,00000001000
2121,00000001000
2161,00000010010
2201,00000001100
2241,00000010010
2281,00000001000
2321,00000001000
2361,00000011000
2401,00000001000
2441,00000010000
2481,00000010000
2521,00000100000
2561,00000001000
2601,00000001000
2641,00000011000
2681,00000001000
2721,00000010000
2761,00000001000
2801,00000011000
2841,00000001000
2881,00000011000
2921,00000010000
2961,00000011000
3001,00000010000
3041,00000001000
3081,00000011000
3121,00000001000
3161,00000100000
3201,00000010000
3241,00000011000
3281,00000001000
3321,00000011000
3361,00000010000
3401,00000100000
3441,00000001000
3481,00000011000
3521,00000001000
3561,00000101000
3601,00000011000
3641,00000001000
3681,00000100000
3721,00000010000
3761,00000011010
3801,00000001100
3841,00000101010
3881,00000001000
3921,00000011010
3961,00000011100
4001,00000010010
4041,00000011000
4081,00000011000
4121,00000100000
4161,00000010000
4201,00000100000
4241,00000011000
4281,00000011000
4321,00000100000
4361,00000010000
4401,00000100000
4441,00000011000
4481,00000011000
4521,00000100000
4561,00000010000
4601,00000100000
4641,00000100010
4681,00000010100
4721,00000100010
4761,00000100000
4801,00000001000
4841,00000110000
4881,00000100000
4921,00000010000
4961,00000100000
5001,00000101000
5041,00000010000
5081,00000101000
5121,00000101000
5161,00000001010
5201,00000101100
5241,00000011010
5281,00000011000
5321,00000101000
5361,00000101000
5401,00000011000
5441,00000100000
5481,00000101000
5521,00000011000
5561,00000011010
5601,00000101100
5641,00000101010
5681,00000010010
5721,00000100100
5761,00000101010
5801,00000100100
5841,00000011000
5881,00000100100
5921,00000110000
5961,00000100010
6001,00000011100
6041,00000100010
6081,00000101000
6121,00000110000
6161,00000010000
6201,00000100000
6241,00000110010
6281,00000101100
6321,00000101100
6361,00000010100
6401,00000100010
6441,00000110010
6481,00000101100
6521,00000101100
6561,00000010100
6601,00000100010
6641,00000110010
6681,00000101100
6721,00000110010
6761,00000011000
6801,00000101000
6841,00000101000
6881,00000101000
6921,00000111000
6961,00000101000
7001,00000101100
7041,00000011000
7081,00000101100
7121,00000101000
7161,00000111000
7201,00000101000
7241,00000111000
7281,00000101000
7321,00000100010
7361,00000100100
7401,00000101010
7441,00000110000
7481,00000110000
