SimTime,OUT2[10:0]
1,00000000000
41,00000000000
81,11111101000
121,11100010000
161,11011000000
201,11011011100
241,11011000100
281,11010100100
321,11010111100
361,11011011100
401,11011000100
441,11011000000
481,11011000000
521,11010110000
561,11011010000
601,11011000000
641,11011000000
681,11011001100
721,11011010100
761,11010110100
801,11010101100
841,11011001100
881,11011010100
921,11011000000
961,11011000000
1001,11011001100
1041,11010111000
1081,11010111100
1121,11011000000
1161,11011000000
1201,11011011100
1241,11011000100
1281,11010100100
1321,11010111100
1361,11011011100
1401,11011000100
1441,11011000000
1481,11011000000
1521,11011010000
1561,11010110000
1601,11011000000
1641,11011000000
1681,11011011100
1721,11011000100
1761,11011000000
1801,11010100100
1841,11011001000
1881,11011010100
1921,11011000000
1961,11011000000
2001,11011001100
2041,11011001000
2081,11010101100
2121,11011000000
2161,11011001100
2201,11011010100
2241,11011000000
2281,11010110100
2321,11010111000
2361,11011010100
2401,11011000000
2441,11011000000
2481,11011001100
2521,11011010100
2561,11010100100
2601,11010111100
2641,11011001100
2681,11011010100
2721,11011000000
2761,11011000000
2801,11010110100
2841,11011001000
2881,11011000100
2921,11011000000
2961,11011000000
3001,11011011100
3041,11011000100
3081,11010110100
3121,11010101100
3161,11011011100
3201,11011000100
3241,11011000000
3281,11011000000
3321,11011011100
3361,11010101000
3401,11010111100
3441,11011000000
3481,11011011100
3521,11011000100
3561,11011000000
3601,11010110100
3641,11011001000
3681,11011000100
3721,11011000000
3761,11011001000
3801,11011010100
3841,11011000100
3881,11010110100
3921,11010111000
3961,11011010100
4001,11011000000
4041,11011000000
4081,11011001100
4121,11011010100
4161,11010110100
4201,11010101100
4241,11011001100
4281,11011010100
4321,11011000000
4361,11011000000
4401,11011001100
4441,11011001000
4481,11010101100
4521,11011000000
4561,11011001100
4601,11011010100
4641,11011000000
4681,11011000000
4721,11011010000
4761,11010110000
4801,11011000000
4841,11011000000
4881,11011011100
4921,11011000100
4961,11011000000
5001,11010110100
5041,11011001000
5081,11011000100
5121,11011000000
5161,11011001100
5201,11011010100
5241,11011000000
5281,11011000000
5321,11010110000
5361,11011010000
5401,11011000000
5441,11011000000
5481,11011011100
5521,11011000100
5561,11011000000
5601,11010110100
5641,11011001000
5681,11011000100
5721,11011000000
5761,11011001100
5801,11011010100
5841,11011000000
5881,11011000000
5921,11011010000
5961,11010110000
6001,11011000000
6041,11011000000
6081,11011011100
6121,11011000100
6161,11011000000
6201,11011001100
6241,11010111000
6281,11010111100
6321,11011000000
6361,11011011100
6401,11011000100
6441,11011000000
6481,11011000000
6521,11011011100
6561,11010111000
6601,11010101100
6641,11011001100
6681,11011010100
6721,11011000000
6761,11011000000
6801,11011011100
6841,11011000100
6881,11010110100
6921,11010111000
6961,11011010100
7001,11011000000
7041,11011000000
7081,11011011100
7121,11011000100
7161,11011000000
7201,11011001100
7241,11011001000
7281,11010101100
7321,11011000000
7361,11011011100
7401,11011000100
7441,11011000000
7481,11011001100
