SimTime,OUT[14:0]
1,000000000000000
161,000000000000000
321,000000000000000
481,000000000100000
641,111111111110000
801,000000000111000
961,000000001000000
1121,000000001000000
1281,000000001011000
1441,000000001100000
1601,000000010001000
1761,000000001111000
1921,000000010100000
2081,000000010010000
2241,000000010110000
2401,000000011000000
2561,000000011010000
2721,000000100001000
2881,000000011110000
3041,000000011101000
3201,000000100100000
3361,000000100011000
3521,000000100110000
3681,000000100111000
3841,000000101101000
4001,000000101011000
4161,000000101101000
4321,000000110000000
4481,000000110100000
4641,000000110010000
4801,000000110101010
4961,000000110110100
5121,000000111011010
5281,000000111101000
5441,000000111010000
5601,000001000010000
5761,000001000000000
5921,000001000100000
6081,000001000101000
6241,000001000111000
6401,000001000111010
6561,000001001100100
6721,000001001110010
6881,000001001101000
7041,000001001110000
7201,000001010111000
7361,000001010001000
7521,000001011010000
7681,000001010100000
7841,000001100000000
8001,000001011000000
8161,000001011101000
8321,000001100011000
8481,000001100100000
8641,000001100100000
8801,000001101000000
8961,000001100101000
9121,000001101010000
9281,000001100111000
9441,000001101100010
9601,000001110111100
9761,000001101110010
9921,000001110000000
10081,000001111011000
10241,000001110011000
10401,000001111100000
10561,000001111010000
10721,000001111100000
10881,000001111111010
11041,000010000010110
11201,000001111110110
11361,000010000111010
11521,000010001000000
11681,000010000011000
11841,000010001111010
12001,000010001001100
12161,000010001110010
12321,000010010100000
12481,000010010001010
12641,000010001100100
12801,000010010101010
12961,000010011001000
13121,000010011001000
13281,000010011010010
13441,000010011100100
13601,000010100101010
13761,000010100100000
13921,000010011110000
14081,000010100010010
14241,000010101100100
14401,000010100011100
14561,000010101111100
14721,000010101001010
14881,000010101101010
15041,000010110010100
15201,000010110000010
15361,000010110011000
15521,000010110110000
15681,000010111000010
15841,000010111000110
16001,000010111010110
16161,000010111110010
16321,000010111110000
16481,000011000001010
16641,000011000001110
16801,000011000101110
16961,000011000101010
17121,000011001001010
17281,000011001000110
17441,000011001010110
17601,000011001110010
17761,000011010001000
17921,000011010010000
18081,000011010010000
18241,000011010101000
18401,000011010111000
18561,000011011001000
18721,000011011001010
18881,000011011110100
19041,000011011101010
19201,000011100000000
19361,000011100011000
19521,000011100011010
19681,000011100010110
19841,000011101000110
20001,000011101011010
20161,000011101001000
20321,000011101011010
20481,000011101111110
20641,000011110000110
20801,000011110010010
20961,000011110010100
21121,000011110111010
21281,000011111000010
21441,000011111000000
21601,000011111101000
21761,000011111010110
21921,000011111111100
22081,000100000000100
22241,000100000000100
22401,000100000101100
22561,000100000110010
22721,000100000110000
22881,000100001011010
23041,000100001001110
23201,000100001110000
23361,000100001111110
23521,000100010000100
23681,000100010001110
23841,000100010010000
24001,000100010111110
24161,000100010100010
24321,000100011010000
24481,000100011010100
24641,000100011110010
24801,000100011111000
24961,000100011111010
25121,000100100010000
25281,000100100011010
25441,000100100101100
25601,000100100110100
25761,000100101000100
25921,000100101011100
26081,000100101100100
26241,000100101101100
26401,000100101111110
26561,000100110000110
26721,000100110011100
26881,000100110100100
27041,000100110111100
27201,000100110111100
27361,000100111001010
27521,000100111100010
27681,000100111101100
27841,000100111101010
28001,000101000000010
28161,000101000100100
28321,000101000100010
28481,000101000100010
28641,000101000101100
28801,000101001100100
28961,000101001001100
29121,000101001101010
29281,000101001100010
29441,000101001110100
29601,000101010011010
29761,000101010010100
29921,000101010011010
30081,000101011001100
30241,000101010100100
30401,000101011010010
30561,000101011101010
30721,000101011001100
30881,000101011111000
31041,000101100001010
31201,000101100101010
31361,000101011100000
31521,000101100110100
31681,000101100110100
31841,000101100110100
32001,000101110000010
32161,000101101001110
32321,000101101000100
32481,000101101110110
32641,000101110000110
32801,000101110011010
32961,000101110001100
33121,000101110110010
33281,000101110100100
33441,000101111001100
33601,000101111000010
33761,000101111010010
33921,000101111110100
34081,000101111110000
34241,000101111110010
34401,000110000001010
34561,000110000100000
34721,000110000011100
34881,000110000111010
35041,000110000110000
35201,000110001000000
35361,000110001011110
35521,000110001100100
35681,000110001010100
35841,000110010011100
36001,000110001111110
36161,000110010001110
36321,000110010000010
36481,000110010111000
36641,000110011001000
36801,000110010111000
36961,000110011001000
37121,000110011100010
37281,000110011010100
37441,000110011100010
37601,000110100001010
37761,000110100000000
37921,000110100101100
38081,000110100001100
38241,000110100101100
38401,000110101000010
38561,000110100110010
38721,000110101010010
38881,000110101011100
39041,000110101100010
39201,000110101110110
39361,000110101101110
39521,000110110010100
39681,000110110000110
39841,000110110100110
40001,000110110101100
40161,000110110101100
40321,000110110111100
40481,000110111011100
40641,000110111010010
40801,000110111100010
40961,000110111101100
41121,000110111100100
41281,000111000010110
41441,000111000000000
41601,000111000011000
41761,000111000100010
41921,000111000110100
42081,000111000110100
42241,000111001010100
42401,000111000111010
42561,000111001100110
42721,000111001100100
42881,000111001100110
43041,000111001111000
43201,000111010000000
43361,000111010011010
43521,000111010011010
43681,000111010010110
43841,000111011000100
44001,000111010011100
44161,000111011000100
44321,000111011010100
44481,000111011101100
44641,000111011010010
44801,000111011111100
44961,000111011100100
45121,000111100011000
45281,000111011101100
45441,000111100010100
45601,000111100101010
45761,000111100110100
45921,000111100110100
46081,000111100110100
46241,000111100111100
46401,000111101001110
46561,000111101111010
46721,000111101011100
46881,000111101101010
47041,000111101101000
47201,000111110101000
47361,000111101110110
47521,000111110001110
47681,000111110101010
47841,000111110101010
48001,000111110101010
48161,000111110111110
48321,000111111001110
48481,000111111001100
48641,000111111010100
48801,000111111101010
48961,000111111100010
49121,000111111111100
49281,000111111111000
49441,001000000001010
49601,001000000000010
49761,001000000011100
49921,001000000101010
