SimTime,OUT[14:0]
1,000000000000000
161,000000000000000
321,111110010011000
481,110111000001000
641,110110000111100
801,110101111110100
961,110110001010000
1121,110110000101100
1281,110110000100100
1441,110110000110000
1601,110110000011100
1761,110110000110100
1921,110110001001100
2081,110101111110100
2241,110110001010000
2401,110110000101100
2561,110110000010100
2721,110110001010000
2881,110110000011100
3041,110110000100100
3201,110110001001100
3361,110110000010100
3521,110110001010000
3681,110110000011100
3841,110110000110100
4001,110110001010100
4161,110110000011100
4321,110110001100000
4481,110110000001100
4641,110110001010100
4801,110110000101100
4961,110110001000100
5121,110110001001100
5281,110110000010100
5441,110110001111100
5601,110110000000100
5761,110110010000000
5921,110110000011000
6081,110110010001000
6241,110110000001100
6401,110110001110100
6561,110110000101100
6721,110110001110100
6881,110110000011100
7041,110110010000100
7201,110110000011100
7361,110110010011100
7521,110110000101000
7681,110110001111100
7841,110110001000100
8001,110110001100100
8161,110110001111100
8321,110110000111000
8481,110110010100100
8641,110110000110100
8801,110110001110100
8961,110110010011100
9121,110110000101000
9281,110110010100100
9441,110110010000100
9601,110110000111000
9761,110110010110100
9921,110110010010000
10081,110110000100100
10241,110110010111000
10401,110110010100100
10561,110110001111100
10721,110110001100000
10881,110110010100100
11041,110110010111100
11201,110110010110100
11361,110110000111100
11521,110110010110000
11681,110110010100100
11841,110110010111100
12001,110110011000100
12161,110110010101100
12321,110110010011000
12481,110110001101000
12641,110110011010100
12801,110110010101100
12961,110110011010100
13121,110110011001100
13281,110110010111100
13441,110110011000100
13601,110110011000100
13761,110110011011100
13921,110110011011000
14081,110110011001100
14241,110110011011100
14401,110110011010000
14561,110110011010100
14721,110110100010000
14881,110110100101100
15041,110110011100000
15201,110110011011100
15361,110110011101100
15521,110110011101000
15681,110110100010100
15841,110110100101100
16001,110110011110100
16161,110110011101100
16321,110110101000100
16481,110110100011100
16641,110110100000000
16801,110110100110100
16961,110110100111100
17121,110110011111000
17281,110110101010100
17441,110110100101100
17601,110110100111100
17761,110110101011100
17921,110110100011100
18081,110110101101100
18241,110110100111100
18401,110110101110000
18561,110110101000000
18721,110110101101100
18881,110110101101100
19041,110110101001000
19201,110110110011000
19361,110110101110000
19521,110110101100000
19681,110110110010100
19841,110110110010000
20001,110110110000100
20161,110110110000100
20321,110110110101000
20481,110110110011100
20641,110110110110100
20801,110110110001100
20961,110110111000100
21121,110110110100100
21281,110110111010100
21441,110110110101100
21601,110110111001100
21761,110110111011000
21921,110110111010100
22081,110110111100100
22241,110110111011000
22401,110110111100100
22561,110110111101100
22721,110110111111000
22881,110110111111000
23041,110111000001000
23201,110111000001000
23361,110111000001000
23521,110111000011000
23681,110111000100100
23841,110111000011100
24001,110111000100100
24161,110111000111100
24321,110111000101000
24481,110111001001100
24641,110111000111100
24801,110111001001100
24961,110111001010100
25121,110111001100100
25281,110111001010000
25441,110111001110000
25601,110111001111000
25761,110111001100100
25921,110111010001000
26081,110111010001100
26241,110111010001000
26401,110111010010000
26561,110111010100000
26721,110111010100100
26881,110111010110100
27041,110111010100100
27201,110111010111100
27361,110111011001100
27521,110111011000100
27681,110111011010100
27841,110111011001000
28001,110111011101100
28161,110111011101100
28321,110111011110000
28481,110111011111000
28641,110111100010000
28801,110111011110000
28961,110111100010000
29121,110111100101100
29281,110111100101100
29441,110111100101000
29601,110111100111100
29761,110111100110100
29921,110111100110100
30081,110111101000100
30241,110111101000100
30401,110111101111000
30561,110111101100000
30721,110111101011100
30881,110111110000100
31041,110111101111100
31201,110111110000100
31361,110111110001100
31521,110111110100000
31681,110111110100100
31841,110111110100100
32001,110111110101100
32161,110111111000100
32321,110111110111100
32481,110111111001100
32641,110111111100000
32801,110111111010100
32961,110111111110100
33121,110111111101000
33281,111000000000000
33441,111000000000000
33601,111000000011000
33761,111000000001000
33921,111000000101000
34081,111000000100100
34241,111000000110100
34401,111000000111100
34561,111000001000100
34721,111000001010100
34881,111000001100000
35041,111000001100000
35201,111000001011000
35361,111000010000100
35521,111000010010000
35681,111000001110100
35841,111000010100100
36001,111000010000000
36161,111000010101100
36321,111000011000100
36481,111000011000100
36641,111000010111100
36801,111000011011100
36961,111000011001100
37121,111000011100000
37281,111000011100000
37441,111000011111000
37601,111000100000000
37761,111000100000000
37921,111000100100000
38081,111000100101100
38241,111000100010100
38401,111000100111000
38561,111000101000100
38721,111000101000100
38881,111000101011100
39041,111000101100000
39201,111000101100000
39361,111000101100000
39521,111000110100000
39681,111000101110100
39841,111000110000000
40001,111000110101100
40161,111000110111100
40321,111000110100100
40481,111000110111100
40641,111000111011100
40801,111000110110100
40961,111000111110000
41121,111000111110000
41281,111000111101100
41441,111001000000100
41601,111001000000100
41761,111001000010100
41921,111001000101000
42081,111001000101100
42241,111001000110100
42401,111001001000100
42561,111001001001100
42721,111001001100100
42881,111001001100100
43041,111001001011000
43201,111001010001100
43361,111001010011100
43521,111001001101000
43681,111001010111100
43841,111001010011100
44001,111001010110100
44161,111001010111100
44321,111001011100100
44481,111001010101100
44641,111001100000000
44801,111001100001100
44961,111001011010100
45121,111001011100100
45281,111001100011100
45441,111001100110000
45601,111001100110100
45761,111001100101100
45921,111001101000000
46081,111001100110100
46241,111001101101000
46401,111001101111000
46561,111001110001000
46721,111001101100000
46881,111001110000100
47041,111001110110000
47201,111001110000100
47361,111001111001100
47521,111001110011100
47681,111001111100100
47841,111001111000000
48001,111001111011100
48161,111001111111100
48321,111010000000000
48481,111001111110100
48641,111010000000100
48801,111010000110000
48961,111010000110100
49121,111010000011100
49281,111010001011000
49441,111010000110100
49601,111010001111000
49761,111010001010100
49921,111010001101100
