SimTime,OUT2[23:0]
1,000000000000000000000000
1281,000000000000000000000000
2561,111111000001100101110000
3841,111011101101010101011000
5121,111011000010110110011100
6401,111011000011010010001000
7681,111011000011110111100000
8961,111011000100101000000100
10241,111011000101100101001100
11521,111011000110110000100000
12801,111011001000000101111000
14081,111011001001101000011100
15361,111011001011011011111100
16641,111011001101001100010000
17921,111011001111010110001000
19201,111011010001100101110000
20481,111011010100000110001000
21761,111011010110101101011000
23041,111011011001100001111100
24321,111011011100100001000000
25601,111011011111101111010100
26881,111011100011000001100100
28161,111011100110100010001000
29441,111011101010001110100100
30721,111011101110000111011100
32001,111011110010001011101100
33281,111011110110001100100000
34561,111011111010100110110100
35841,111011111111000111101000
37121,111100000011110001110100
38401,111100001000100101100100
39681,111100001101100001011000
40961,111100010010100110111100
42241,111100010111110101111000
43521,111100011101001111100100
44801,111100100010110001010000
46081,111100101000011010010000
47361,111100101110001100001000
48641,111100110100000111000000
49921,111100111010001000100000
51201,111101000000010010011000
52481,111101000110100000101000
53761,111101001100111011001100
55041,111101010011011011001000
56321,111101011001111111010100
57601,111101100000101100100100
58881,111101100111011011101000
60161,111101101110010100100100
61441,111101110101010101001000
62721,111101111100011000010100
64001,111110000011011101110100
65281,111110001010101000100000
66561,111110010001111110111100
67841,111110011001010011000100
69121,111110100000101100101000
70401,111110101000001001001100
71681,111110101111101001100100
72961,111110110111001110110000
74241,111110111110110100101100
75521,111111000110011101000100
76801,111111001110001011001000
78081,111111010101110100111000
79361,111111011101100100100000
80641,111111100101010101010000
81921,111111101101001000110000
83201,111111110100110110001100
84481,111111111100101010100000
85761,000000000100011100011100
87041,000000001100001111111000
88321,000000010100000001001100
89601,000000011011110010111100
90881,000000100011100010110000
92161,000000101011010001010000
93441,000000110010111110111000
94721,000000111010101000010000
96001,000001000010010010010000
97281,000001001001111011111100
98561,000001010001011001001000
99841,000001011000111010001000
101121,000001100000011000011000
102401,000001100111110001110100
103681,000001101111000100000100
104961,000001110110011010001100
106241,000001111101100100111100
107521,000010000100101001110100
108801,000010001011101101000000
110081,000010010010101010001100
111361,000010011001100010101000
