SimTime,OUT[9:0]
1,0000000000
41,0000000000
81,0000000000
121,0000000000
161,0000000010
201,0000000000
241,1111111110
281,0000000010
321,0000000000
361,0000000000
401,0000000000
441,1111111110
481,0000000010
521,0000000000
561,0000000000
601,0000000000
641,1111111110
681,0000000010
721,0000000000
761,0000000000
801,0000000000
841,1111111110
881,0000000100
921,0000000000
961,0000000000
1001,0000000010
1041,1111111110
1081,0000000010
1121,1111111110
1161,0000000000
1201,0000000010
1241,0000000000
1281,0000000010
1321,0000000000
1361,0000000000
1401,0000000000
1441,0000000000
1481,0000000000
1521,0000000100
1561,0000000000
1601,1111111110
1641,0000000010
1681,1111111110
1721,0000000100
1761,0000000000
1801,0000000000
1841,0000000010
1881,1111111110
1921,0000000100
1961,0000000000
2001,0000000000
2041,1111111110
2081,0000000110
2121,1111111110
2161,0000000000
2201,0000000010
2241,0000000000
2281,0000000010
2321,0000000000
2361,0000000000
2401,0000000010
2441,0000000010
2481,1111111110
2521,0000000100
2561,0000000000
2601,0000000000
2641,0000000010
2681,0000000010
2721,0000000000
2761,0000000000
2801,0000000010
2841,0000000000
2881,0000000010
2921,0000000000
2961,0000000010
3001,0000000000
3041,0000000010
3081,0000000000
3121,0000000010
3161,0000000010
3201,0000000000
3241,0000000010
3281,0000000010
3321,0000000000
3361,0000000000
3401,0000000100
3441,0000000000
3481,0000000010
3521,0000000000
3561,0000000100
3601,1111111110
3641,0000000100
3681,0000000000
3721,0000000000
3761,0000000100
3801,0000000000
3841,0000000010
3881,0000000010
3921,0000000000
3961,0000000010
4001,0000000010
4041,0000000010
4081,0000000000
4121,0000000010
4161,0000000000
4201,0000000100
4241,1111111110
4281,0000000110
4321,1111111110
4361,0000000100
4401,0000000000
4441,0000000100
4481,0000000000
4521,0000000010
4561,0000000100
4601,0000000000
4641,0000000010
4681,0000000010
4721,0000000000
4761,0000000010
4801,0000000010
4841,0000000010
4881,0000000010
4921,0000000000
4961,0000000100
5001,0000000010
5041,0000000000
5081,0000000100
5121,0000000000
5161,0000000100
5201,0000000000
5241,0000000100
5281,0000000010
5321,0000000010
5361,0000000000
5401,0000000100
5441,0000000010
5481,0000000000
5521,0000000100
5561,0000000000
5601,0000000100
5641,0000000010
5681,0000000010
5721,0000000010
5761,0000000100
5801,1111111110
5841,0000000110
5881,1111111110
5921,0000000110
5961,0000000000
6001,0000000100
6041,0000000010
6081,0000000000
6121,0000000100
6161,0000000100
6201,0000000000
6241,0000000010
6281,0000000100
6321,0000000010
6361,0000000010
6401,0000000010
6441,0000000010
6481,0000000110
6521,1111111110
6561,0000000100
6601,0000000010
6641,0000000110
6681,1111111110
6721,0000000110
6761,0000000000
6801,0000000100
6841,0000000010
6881,0000000100
6921,0000000000
6961,0000000100
7001,0000000100
7041,0000000000
7081,0000000010
7121,0000000110
7161,0000000000
7201,0000000100
7241,0000000010
7281,0000000100
7321,0000000010
7361,0000000010
7401,0000000110
7441,1111111110
7481,0000000110
7521,0000000010
7561,0000000100
7601,0000000000
7641,0000000100
7681,0000000110
7721,0000000000
7761,0000000100
7801,0000000000
7841,0000000110
7881,0000000010
7921,0000000010
7961,0000000100
8001,0000000010
8041,0000000110
8081,1111111110
8121,0000000110
8161,0000000100
8201,0000000010
8241,0000000110
8281,1111111110
8321,0000000110
8361,0000000010
8401,0000000100
8441,0000000100
8481,0000000000
8521,0000000110
8561,0000000010
8601,0000000100
8641,0000000110
8681,1111111110
8721,0000000110
8761,0000000100
8801,0000000010
8841,0000000110
8881,1111111110
8921,0000000110
8961,0000000100
9001,0000000010
9041,0000000110
9081,0000000100
9121,0000000000
9161,0000000110
9201,0000000000
9241,0000000110
9281,0000000110
9321,0000000000
9361,0000000110
9401,0000000000
9441,0000000100
9481,0000000110
9521,0000000010
9561,0000000100
9601,0000000110
9641,0000000000
9681,0000000110
9721,0000000010
9761,0000000100
9801,0000000100
9841,0000000100
9881,0000000010
9921,0000000110
9961,0000000100
10001,0000000100
10041,0000000100
10081,0000000010
10121,0000000010
10161,0000000100
10201,0000000110
10241,0000000100
10281,0000000010
10321,0000000110
10361,0000000100
10401,0000000010
10441,0000000110
10481,0000000110
10521,0000000000
10561,0000000110
10601,0000000110
10641,0000000000
10681,0000000110
10721,0000000010
10761,0000000100
10801,0000000100
10841,0000000100
10881,0000000110
10921,0000000010
10961,0000000100
11001,0000000110
11041,0000000100
11081,0000000010
11121,0000000110
11161,0000000110
11201,0000000000
11241,0000000110
11281,0000000110
11321,0000000100
11361,0000000010
11401,0000000110
11441,0000000100
11481,0000000100
11521,0000000100
11561,0000000100
11601,0000000110
11641,0000000100
11681,0000000010
11721,0000000110
11761,0000000110
11801,0000000010
11841,0000000100
11881,0000000110
11921,0000000110
11961,0000000110
12001,0000000010
12041,0000000110
12081,0000000100
12121,0000000110
12161,0000000010
12201,0000000100
12241,0000000110
12281,0000000110
12321,0000000010
12361,0000000100
12401,0000000110
12441,0000000100
12481,0000000110
12521,0000000010
12561,0000001000
12601,0000000100
12641,0000000110
12681,0000000110
12721,0000000010
12761,0000000100
12801,0000000110
12841,0000000100
12881,0000000110
12921,0000000010
12961,0000001000
13001,0000000100
13041,0000000110
13081,0000000110
13121,0000000010
13161,0000000100
13201,0000000110
13241,0000000110
13281,0000000110
13321,0000000110
13361,0000000010
13401,0000000100
13441,0000000110
13481,0000000110
13521,0000000110
13561,0000000110
13601,0000000100
13641,0000000100
13681,0000000100
13721,0000000110
13761,0000000110
13801,0000001000
13841,0000000100
13881,0000000010
13921,0000000110
13961,0000000100
14001,0000001000
14041,0000000110
14081,0000000110
14121,0000000100
14161,0000000100
14201,0000000110
14241,0000000110
14281,0000000100
14321,0000000110
14361,0000000110
14401,0000001000
14441,0000000100
14481,0000000010
14521,0000000110
14561,0000000110
14601,0000000110
14641,0000000110
14681,0000000110
14721,0000000110
14761,0000000110
14801,0000000110
14841,0000000100
14881,0000000100
14921,0000000110
14961,0000000110
15001,0000000110
15041,0000000110
15081,0000000110
15121,0000000110
15161,0000000110
15201,0000000110
15241,0000000110
15281,0000000100
15321,0000000100
15361,0000001000
15401,0000000100
15441,0000000110
15481,0000001000
15521,0000000110
15561,0000000100
15601,0000001000
15641,0000000110
15681,0000000110
15721,0000000110
15761,0000000110
15801,0000000110
15841,0000000110
15881,0000001000
15921,0000000000
15961,0000000110
16001,0000001000
16041,0000000110
16081,0000000100
16121,0000001000
16161,0000000110
16201,0000000110
16241,0000001000
16281,0000000100
16321,0000000110
16361,0000001000
16401,0000000110
16441,0000000110
16481,0000000110
16521,0000000110
16561,0000001000
16601,0000000110
16641,0000000100
16681,0000001000
16721,0000000110
16761,0000000110
16801,0000001000
16841,0000000100
16881,0000001000
16921,0000000110
16961,0000000110
17001,0000001000
17041,0000000100
17081,0000001000
17121,0000000110
17161,0000000110
17201,0000001000
17241,0000000100
17281,0000001000
17321,0000000110
17361,0000001000
17401,0000000110
17441,0000000110
17481,0000000110
17521,0000000110
17561,0000001000
17601,0000000110
17641,0000000110
17681,0000000110
17721,0000001000
17761,0000000110
17801,0000000110
17841,0000001000
17881,0000000110
17921,0000000110
17961,0000000110
18001,0000001000
18041,0000001000
18081,0000001010
18121,0000000100
18161,0000001000
18201,0000000110
18241,0000001000
18281,0000000110
18321,0000000110
18361,0000000110
18401,0000001000
18441,0000000110
18481,0000001000
18521,0000000110
18561,0000000110
18601,0000000110
18641,0000001000
18681,0000001010
18721,0000001000
18761,0000000110
18801,0000001000
18841,0000000110
18881,0000000110
18921,0000000110
18961,0000001000
19001,0000000110
19041,0000001000
19081,0000000110
19121,0000001000
19161,0000001010
19201,0000000110
19241,0000001000
19281,0000000110
19321,0000001000
19361,0000000110
19401,0000000110
19441,0000001000
19481,0000001010
19521,0000001000
19561,0000000110
19601,0000001000
19641,0000000110
19681,0000000110
19721,0000001000
19761,0000000110
19801,0000001010
19841,0000001000
19881,0000001000
19921,0000000110
19961,0000001000
20001,0000000110
20041,0000001000
20081,0000001000
20121,0000001010
20161,0000000110
20201,0000001000
20241,0000000110
20281,0000001000
20321,0000000110
20361,0000001100
20401,0000000110
20441,0000001000
20481,0000000110
20521,0000001000
20561,0000001000
20601,0000001010
20641,0000000110
20681,0000001000
20721,0000000110
20761,0000001000
20801,0000001000
20841,0000001010
20881,0000001000
20921,0000000110
20961,0000001000
21001,0000000110
21041,0000001100
21081,0000001000
21121,0000000110
21161,0000001000
21201,0000000110
21241,0000001010
21281,0000001010
21321,0000000110
21361,0000001000
21401,0000000110
21441,0000001100
21481,0000001000
21521,0000000110
21561,0000001000
21601,0000001000
21641,0000001010
21681,0000001000
21721,0000001000
21761,0000000110
21801,0000001010
21841,0000001000
21881,0000001000
21921,0000001000
21961,0000000110
22001,0000001100
22041,0000001000
22081,0000000110
22121,0000001000
22161,0000001100
22201,0000001000
22241,0000000110
22281,0000001000
22321,0000001000
22361,0000001010
22401,0000001000
22441,0000001000
22481,0000001010
22521,0000001000
22561,0000001000
22601,0000001000
22641,0000001010
22681,0000001000
22721,0000001000
22761,0000001010
22801,0000001000
22841,0000001000
22881,0000001000
22921,0000001000
22961,0000001010
23001,0000001000
23041,0000001000
23081,0000001010
23121,0000001000
23161,0000001000
23201,0000001010
23241,0000001010
23281,0000000110
23321,0000001010
23361,0000001010
23401,0000001000
23441,0000001000
23481,0000001000
23521,0000001010
23561,0000001000
23601,0000001010
23641,0000001010
23681,0000000110
23721,0000001010
23761,0000001010
23801,0000001000
23841,0000001010
23881,0000001010
23921,0000001000
23961,0000000110
24001,0000001100
24041,0000001000
24081,0000001010
24121,0000001010
24161,0000001000
24201,0000001000
24241,0000001010
24281,0000001000
24321,0000001010
24361,0000001010
24401,0000001000
24441,0000001000
24481,0000001100
24521,0000001000
24561,0000001010
24601,0000001010
24641,0000000110
24681,0000001010
24721,0000001010
24761,0000001000
24801,0000001100
24841,0000001000
24881,0000001000
24921,0000001100
24961,0000001000
25001,0000001010
25041,0000001010
25081,0000001000
25121,0000001010
25161,0000001010
25201,0000001010
25241,0000001010
25281,0000001000
25321,0000001000
25361,0000001010
25401,0000001000
25441,0000001100
25481,0000001000
25521,0000001010
25561,0000001010
25601,0000001000
25641,0000001100
25681,0000001000
25721,0000001010
25761,0000001010
25801,0000001010
25841,0000001100
25881,0000001000
25921,0000001010
25961,0000001010
26001,0000001010
26041,0000001010
26081,0000001000
26121,0000001100
26161,0000001000
26201,0000001010
26241,0000001010
26281,0000001000
26321,0000001100
26361,0000001000
26401,0000001100
26441,0000001000
26481,0000001010
26521,0000001010
26561,0000001100
26601,0000001010
26641,0000001000
26681,0000001100
26721,0000001000
26761,0000001100
26801,0000001000
26841,0000001010
26881,0000001010
26921,0000001110
26961,0000001000
27001,0000001010
27041,0000001010
27081,0000001010
27121,0000001010
27161,0000001000
27201,0000001110
27241,0000001010
27281,0000001010
27321,0000001000
27361,0000001100
27401,0000001000
27441,0000001110
27481,0000001000
27521,0000001100
27561,0000001000
27601,0000001100
27641,0000001000
27681,0000001110
27721,0000001000
27761,0000001100
27801,0000001000
27841,0000001100
27881,0000001010
27921,0000001100
27961,0000001000
28001,0000001100
28041,0000001010
28081,0000001100
28121,0000001000
28161,0000001100
28201,0000001100
28241,0000001010
28281,0000001000
28321,0000001100
28361,0000001010
28401,0000001100
28441,0000001010
28481,0000001010
28521,0000001010
28561,0000001100
28601,0000001010
28641,0000001010
28681,0000001110
28721,0000001000
28761,0000001100
28801,0000001100
28841,0000001010
28881,0000001010
28921,0000001010
28961,0000001100
29001,0000001010
29041,0000001010
29081,0000001100
29121,0000001100
29161,0000001000
29201,0000001110
29241,0000001010
29281,0000001010
29321,0000001100
29361,0000001010
29401,0000001100
29441,0000001010
29481,0000001100
29521,0000001010
29561,0000001100
29601,0000001010
29641,0000001110
29681,0000001010
29721,0000001010
29761,0000001100
29801,0000001100
29841,0000001000
29881,0000001110
29921,0000001010
29961,0000001100
30001,0000001010
30041,0000001100
30081,0000001100
30121,0000001010
30161,0000001100
30201,0000001100
30241,0000001000
30281,0000001110
30321,0000001010
30361,0000001100
30401,0000001100
30441,0000001100
30481,0000001010
30521,0000001100
30561,0000001100
30601,0000001010
30641,0000001100
30681,0000001010
30721,0000001110
30761,0000001100
30801,0000001010
30841,0000001110
30881,0000001000
30921,0000001100
30961,0000001110
31001,0000001000
31041,0000001110
31081,0000001100
31121,0000001010
31161,0000001110
31201,0000001010
31241,0000001010
31281,0000001110
31321,0000001010
31361,0000001100
31401,0000001110
31441,0000001010
31481,0000001100
31521,0000001100
31561,0000001100
31601,0000001010
31641,0000001110
31681,0000001100
31721,0000001010
31761,0000001110
31801,0000001100
31841,0000001000
31881,0000001110
31921,0000001110
31961,0000001010
32001,0000001100
32041,0000001110
32081,0000001010
32121,0000001100
32161,0000001100
32201,0000001100
32241,0000001110
32281,0000001010
32321,0000001100
32361,0000001100
32401,0000001100
32441,0000001110
32481,0000001010
32521,0000001100
32561,0000001110
32601,0000001100
32641,0000001100
32681,0000001010
32721,0000001110
32761,0000001100
32801,0000001110
32841,0000001010
32881,0000001110
32921,0000001010
32961,0000001100
33001,0000001110
33041,0000001110
33081,0000001010
33121,0000001110
33161,0000001100
33201,0000001010
33241,0000001110
33281,0000001100
33321,0000001100
33361,0000001110
33401,0000001100
33441,0000001110
33481,0000001100
33521,0000001100
33561,0000001010
33601,0000001100
33641,0000001110
33681,0000001110
33721,0000001100
33761,0000001100
33801,0000001100
33841,0000001110
33881,0000001110
33921,0000001100
33961,0000001100
34001,0000001100
34041,0000001110
34081,0000001110
34121,0000001100
34161,0000001100
34201,0000001100
34241,0000001110
34281,0000001110
34321,0000001100
34361,0000001100
34401,0000001100
34441,0000001110
34481,0000001110
34521,0000001100
34561,0000001100
34601,0000001100
34641,0000001110
34681,0000001110
34721,0000001100
34761,0000001100
34801,0000001100
34841,0000001110
34881,0000001110
34921,0000001100
34961,0000001100
35001,0000001100
35041,0000001110
35081,0000001110
35121,0000001100
35161,0000010000
35201,0000001100
35241,0000001110
35281,0000001100
35321,0000001100
35361,0000001110
35401,0000001100
35441,0000001110
35481,0000001100
35521,0000010000
35561,0000001100
35601,0000001110
35641,0000001110
35681,0000001010
35721,0000001110
35761,0000001100
35801,0000010010
35841,0000001010
35881,0000001110
35921,0000001110
35961,0000001100
36001,0000001110
36041,0000001110
36081,0000001110
36121,0000001100
36161,0000001110
36201,0000001100
36241,0000010000
36281,0000001110
36321,0000001100
36361,0000001100
36401,0000010000
36441,0000001110
36481,0000001100
36521,0000001100
36561,0000010000
36601,0000001110
36641,0000001110
36681,0000001010
36721,0000010010
36761,0000001100
36801,0000001110
36841,0000001010
36881,0000010010
36921,0000001100
36961,0000001110
37001,0000001100
37041,0000010000
37081,0000001110
37121,0000001100
37161,0000010000
37201,0000001100
37241,0000010000
37281,0000001100
37321,0000001110
37361,0000001100
37401,0000010010
37441,0000001010
37481,0000010000
37521,0000001110
37561,0000001110
37601,0000001100
37641,0000010000
37681,0000001110
37721,0000001110
37761,0000001110
37801,0000001100
37841,0000010010
37881,0000001010
37921,0000010010
37961,0000001100
38001,0000001110
38041,0000001110
38081,0000001110
38121,0000010000
38161,0000001100
38201,0000001110
38241,0000010000
38281,0000001100
38321,0000010000
38361,0000001100
38401,0000010010
38441,0000001010
38481,0000010010
38521,0000001100
38561,0000010000
38601,0000001100
38641,0000010010
38681,0000001100
38721,0000001110
38761,0000001110
38801,0000010010
38841,0000001010
38881,0000010000
38921,0000001110
38961,0000010000
39001,0000001100
39041,0000010010
39081,0000001100
39121,0000001110
39161,0000001110
39201,0000010010
39241,0000001010
39281,0000010010
39321,0000001110
39361,0000001110
39401,0000001110
39441,0000010000
39481,0000001110
39521,0000001110
39561,0000010000
39601,0000001110
39641,0000001110
39681,0000010010
39721,0000001100
39761,0000010000
39801,0000001100
39841,0000010010
39881,0000001010
39921,0000010010
39961,0000010000
40001,0000001100
40041,0000010000
40081,0000010000
40121,0000001110
40161,0000001110
40201,0000010010
40241,0000001010
40281,0000010010
40321,0000010000
40361,0000001100
40401,0000010000
40441,0000010010
40481,0000001010
40521,0000010010
40561,0000010000
40601,0000001100
40641,0000010000
40681,0000010000
40721,0000001110
40761,0000001110
