SimTime,OUT[20:0]
5,000000000000000000000
165,000000000000000000000
325,000000000000011001000
485,111110010001011001000
645,000000000100010001000
805,110111100111011100100
965,000000001011111001000
1125,110110000101011001000
1285,000000010011001110000
1445,110110000101100011000
1605,000000011011101011000
1765,110110000101101011000
1925,000000100010111111000
2085,110110000110001001100
2245,000000101011000111000
2405,110110000110110110000
2565,000000110010101110010
2725,110110000111001100000
2885,000000111010100001100
3045,110110000111111000000
3205,000001000010010000100
3365,110110001000111011000
3525,000001001001111010100
3685,110110001001011001000
3845,000001010001100010010
4005,110110001010100001000
4165,000001011001011000000
4325,110110001011100101100
4485,000001100001101011000
4645,110110001100110000100
4805,000001101000001111010
4965,110110001101111110000
5125,000001110000100011100
5285,110110001111001101000
5445,000001111000010000110
5605,110110010000100101100
5765,000001111111101101000
5925,110110010010011110000
6085,000010000111011100110
6245,110110010011111100100
6405,000010001110110110110
6565,110110010100110111100
6725,000010010101101100000
6885,110110010111010011100
7045,000010011111000001000
7205,110110011001010010000
7365,000010100101101010010
7525,110110011010111111100
7685,000010101101001111010
7845,110110011110011101100
8005,000010110100100100000
8165,110110011110111110100
8325,000010111100001000100
8485,110110100001111011000
8645,000011000011100001000
8805,110110100100000101000
8965,000011001010110101100
9125,110110100110011110100
9285,000011010010011000110
9445,110110101001001011100
9605,000011011001101010100
9765,110110101011101011000
9925,000011100000111010110
10085,110110101110010101000
10245,000011101000000101100
10405,110110110001010000000
10565,000011101111011010100
10725,110110110100001010100
10885,000011110110110000010
11045,110110110111000100100
11205,000011111101101011110
11365,110110111010011000000
11525,000100000100111001000
11685,110110111101001111100
11845,000100001100010001100
12005,110111000000101010000
12165,000100010010110011110
12325,110111000011111010100
12485,000100011001111111000
12645,110111000111010011000
12805,000100100001000001100
12965,110111001010110011000
13125,000100100111111010000
13285,110111001110011010000
13445,000100101110110010100
13605,110111010010001000100
13765,000100110101101001000
13925,110111010101111000000
14085,000100111100010001010
14245,110111011001100101100
14405,000101000011001010010
14565,110111011101101101000
14725,000101001001110110100
14885,110111100001110100000
15045,000101010000010101100
15205,110111100101111100000
15365,000101010111000001010
15525,110111101001100000100
15685,000101011101100101100
15845,110111101110001010100
16005,000101100011110011000
16165,110111110010100010000
16325,000101101010100010100
16485,110111110110110000000
16645,000101110000101111100
16805,110111111011011000000
16965,000101110111000011100
17125,110111111111111100000
17285,000101111101010100100
17445,111000000100100000000
17605,000110000011100100110
17765,111000001001011010000
17925,000110001001101001010
18085,111000001110001010100
18245,000110001111110111010
18405,111000010010111010100
18565,000110010101111011000
18725,111000011000010110100
18885,000110011011011110100
19045,111000011100011101000
19205,000110100001110010110
19365,111000100001111101100
19525,000110100111011101100
19685,111000100111001010000
19845,000110101101001111000
20005,111000101100010010000
20165,000110110011000000000
20325,111000110001100111000
20485,000110111000110000000
20645,111000110111001100100
20805,000110111110000010110
20965,111000111100011111000
21125,000111000011101001010
21285,111001000010000001000
21445,000111001001001100100
21605,111001000111101011100
21765,000111001110010110110
21925,111001001101010010100
22085,000111010011110000010
22245,111001010010111100100
22405,000111011001000101000
22565,111001011000101111100
22725,000111011110001011010
22885,111001011110001000100
23045,000111100011001110000
23205,111001100100011100100
23365,000111101000001111000
23525,111001101010100101000
23685,000111101101010111000
23845,111001110000100110100
24005,000111110010000100110
24165,111001110110100001100
24325,000111110110111011010
24485,111001111100110001100
24645,000111111011101000110
24805,111010000010110110100
24965,001000000000000110010
25125,111010001001000001100
25285,001000000100111011010
25445,111010001111010110100
25605,001000001001001110010
25765,111010010101010000000
25925,001000001101100101000
26085,111010011100101110100
26245,001000010010000000010
26405,111010100010110110000
26565,001000010110101000110
26725,111010101001010011000
26885,001000011010010001000
27045,111010101111110000100
27205,001000011110011001110
27365,111010110110011000000
27525,001000100010011010110
27685,111010111101001111000
27845,001000100110100010100
28005,111011000011111111000
28165,001000101010001011100
28325,111011001010100101000
28485,001000101110000010110
28645,111011010001011011100
28805,001000110001110101100
28965,111011011000010100100
29125,001000110101001101010
29285,111011011111011100100
29445,001000111000101110000
29605,111011100110001010000
29765,001000111100010011000
29925,111011101100111111100
30085,001000111111011000110
30245,111011110100011101100
30405,001001000010101110100
30565,111011111011010110000
30725,001001000110000100000
30885,111100000010101000100
31045,001001001001000001110
31205,111100001001100110100
31365,001001001100000111110
31525,111100010000101010000
31685,001001001110101110100
31845,111100010111111000000
32005,001001010001101010100
32165,111100011111100010100
32325,001001010100011000110
32485,111100100110110000100
32645,001001010111000101100
32805,111100101101101111000
32965,001001011001100010100
33125,111100110101011111100
33285,001001011011111001100
33445,111100111100101111000
33605,001001011110010101010
33765,111101000100000110100
33925,001001100000101010100
34085,111101001011101100100
34245,001001100010011010100
34405,111101010010111111100
34565,001001100101101001010
34725,111101011010101110100
34885,001001100110011110010
35045,111101100001110010100
35205,001001101000001100000
35365,111101101001111011100
35525,001001101010111101000
35685,111101110001011110100
35845,001001101011111111110
36005,111101111000110011100
36165,001001101101111010010
36325,111110000000011101100
36485,001001101111010110110
36645,111110001000001000000
36805,001001110000110010100
36965,111110001111110010000
37125,001001110010000101110
37285,111110010111011001100
37445,001001110011010110000
37605,111110011111011100000
37765,001001110100010101110
37925,111110100110110010000
38085,001001110101100111110
38245,111110101110100001000
38405,001001110110100101100
38565,111110110110001100100
38725,001001110111010000100
38885,111110111110000110100
39045,001001111000000100010
39205,111111000101101010100
39365,001001111000110100000
39525,111111001101100011000
39685,001001111001011110100
39845,111111010101100011000
40005,001001111001110010100
40165,111111011101000111100
40325,001001111010000110010
40485,111111100100111111100
40645,001001111010010111100
40805,111111101100011011000
40965,001001111010101010010
41125,111111110100101000100
41285,001001111010110110010
41445,111111111100010010000
41605,001001111010101101000
41765,000000000100000001000
41925,001001111010101010110
42085,000000001011101001000
42245,001001111010011111100
42405,000000010011110000000
42565,001001111001111110100
42725,000000011011011110100
42885,001001111001110011010
43045,000000100011001001000
43205,001001111001011001010
43365,000000101010111010100
43525,001001111000110101100
43685,000000110010110000100
43845,001001111000000100000
44005,000000111010011100100
44165,001001110111001110110
44325,000001000010001000100
44485,001001110110011011100
44645,000001001010001000000
44805,001001110101110000010
44965,000001010001101101000
45125,001001110100010000110
45285,000001011001011100000
45445,001001110011010010100
45605,000001100000111101000
45765,001001110010000010010
45925,000001101000111000000
46085,001001110000110000100
46245,000001110000101001100
46405,001001101111010110100
46565,000001111000001101000
46725,001001101101101111100
46885,000001111111110011100
47045,001001101100000011000
47205,000010000111100010100
47365,001001101010110110100
47525,000010001110110000100
47685,001001101000000100010
47845,000010010101111001100
48005,001001100110101100000
48165,000010011111000101100
48325,001001100101010110100
48485,000010100101101011100
48645,001001100010100001110
48805,000010101101001110100
48965,001001100000100000010
49125,000010110100100011000
49285,001001011110001111010
49445,000010111100001100100
49605,001001011011111011100
49765,000011000011100101000
49925,001001011001100000100
50085,000011001010110110000
50245,001001010110110111100
50405,000011010010011110100
50565,001001010100010000110
50725,000011011001100100100
50885,001001010001100110100
51045,000011100000111111100
51205,001001001110101111100
51365,000011101000001001100
51525,001001001011111101010
51685,000011101111011110100
51845,001001001000110101110
52005,000011110110101010100
52165,001001000101111100100
52325,000011111110000001000
52485,001001000010100010010
52645,000100000100111000000
52805,001000111111100011000
52965,000100001011111011100
53125,001000111100000001010
53285,000100010010111001000
53445,001000111000101111100
53605,000100011010000001100
53765,001000110101000100100
53925,000100100001001000000
54085,001000110001100110010
54245,000100101000000000000
54405,001000101101111001110
54565,000100101110110000100
54725,001000101010010101100
54885,000100110101101101000
55045,001000100110001011100
55205,000100111100001011000
55365,001000100010010011000
55525,000101000011001000100
55685,001000011110101001100
55845,000101001010000010000
56005,001000011010100000010
56165,000101010000010011100
56325,001000010101101101010
56485,000101010111001100000
56645,001000010001110101000
56805,000101011101100110100
56965,001000001101101101000
57125,000101100100110010000
57285,001000001001001100010
57445,000101101001011101100
57605,001000000100101011110
57765,000101110000110110000
57925,000111111111111111110
58085,000101110111000101000
58245,000111111011011011010
58405,000101111101010111100
58565,000111110110110011010
58725,000110000011011111100
58885,000111110001110111100
59045,000110001001110001000
59205,000111101101001011110
59365,000110001111101010000
59525,000111100111111001010
59685,000110010110110010000
59845,000111100011001111000
60005,000110011011000001000
60165,000111011110001000110
60325,000110100001100111000
60485,000111011000110001110
60645,000110100111100111000
60805,000111010011100010000
60965,000110101101001111100
61125,000111001110010010100
61285,000110110010111010000
61445,000111001001000010000
61605,000110111000010111100
61765,000111000011011110110
61925,000110111110011101100
62085,000110111101111111000
62245,000111000011110100100
62405,000110111000011101000
62565,000111001000111101100
62725,000110110010110011100
62885,000111001110100101000
63045,000110101101000101110
63205,000111010011111001100
63365,000110100111010000100
63525,000111011000111101100
63685,000110100001011000110
63845,000111011110001101000
64005,000110011011110110110
64165,000111100011011011100
64325,000110010101011100000
64485,000111101000001101100
64645,000110001111100001000
64805,000111101101011010000
64965,000110001001100110000
65125,000111110001111010000
65285,000110000011011101000
65445,000111110110111010100
65605,000101111100111111100
65765,000111111011100111000
65925,000101110110110110100
66085,001000000000010010000
66245,000101110000100000010
66405,001000000100101000000
66565,000101101010010010010
66725,001000001001011101000
66885,000101100011101110110
67045,001000001101100101000
67205,000101011101011110100
67365,001000010010000101100
67525,000101010110110010100
67685,001000010110100000100
67845,000101010000001101000
68005,001000011010010011000
68165,000101001001101100110
68325,001000011110011011000
68485,000101000010110000100
68645,001000100010100111000
68805,000100111100000100010
68965,001000100110011110100
69125,000100110101011000010
69285,001000101010001101000
69445,000100101110100011110
69605,001000101110001000000
69765,000100100111100100110
69925,001000110001110100100
70085,000100100000111000100
70245,001000110101001100100
70405,000100011001111010010
70565,001000111000101111000
70725,000100010010100110010
70885,001000111100001110100
71045,000100001011110110100
71205,001000111111100001100
71365,000100000100011111000
71525,001001000010110100000
71685,000011111101110110110
71845,001001000110000011000
72005,000011110110010111010
72165,001001001000111101100
72325,000011101111001111010
72485,001001001011110100000
72645,000011100111111101010
72805,001001001110111101100
72965,000011100000101011010
73125,001001010001110011000
73285,000011011001011010000
73445,001001010100011111000
73605,000011010010000111010
73765,001001010110110110100
73925,000011001010101010100
74085,001001011001011111100
74245,000011000011010011010
74405,001001011100000000000
74565,000010111011110101000
74725,001001011110011000000
74885,000010110100011100010
75045,001001100000100100100
75205,000010101100110110010
75365,001001100011001011000
75525,000010100101110000000
75685,001001100011100110100
75845,000010011101100101110
76005,001001100111100010000
76165,000010010110101000000
76325,001001101001011001100
76485,000010001110100110100
76645,001001101001110011000
76805,000010000110111110000
76965,001001101100100000000
77125,000001111111100001000
77285,001001101101110000100
77445,000001110111111111010
77605,001001101111011000000
77765,000001110000000111100
77925,001001110000101101100
78085,000001101000000001000
78245,001001110010001011100
78405,000001100001100101000
78565,001001110011010010100
78725,000001011001001010000
78885,001001110100100000100
79045,000001010001011001000
79205,001001110101011110000
79365,000001001001011110000
79525,001001110110100100000
79685,000001000010001111010
79845,001001110111011000100
80005,000000111010001000110
80165,001001110111111111000
80325,000000110010100111110
80485,001001111000110001000
80645,000000101010100001100
80805,001001111001010000000
80965,000000100011000001100
81125,001001111010000001000
81285,000000011010111011010
81445,001001111010001110000
81605,000000010011011011000
81765,001001111010010110000
81925,000000001011101110000
82085,001001111010101100000
82245,000000000011111100000
82405,001001111010101011000
82565,111111111011101111000
82725,001001111010110101100
82885,111111110100010110000
83045,001001111010101011000
83205,111111101011110100000
83365,001001111010011010000
83525,111111100100111011000
83685,001001111010010001000
83845,111111011101001010000
84005,001001111001101111100
84165,111111010100111011110
84325,001001111001010100100
84485,111111001101001111100
84645,001001111000101011000
84805,111111000101100011010
84965,001001111000001010000
85125,111110111101110000000
85285,001001110111010101100
85445,111110110110001001000
85605,001001110110010110000
85765,111110101110010011110
85925,001001110101100011000
86085,111110100110100010100
86245,001001110100011111100
86405,111110011111110100000
86565,001001110011001011100
86725,111110010110010011110
86885,001001110010001001100
87045,111110001111100111110
87205,001001110000101100000
87365,111110000111110000100
87525,001001101111001100100
87685,111110000000010011100
87845,001001101101110011100
88005,111101111000101000100
88165,001001101100011001100
88325,111101110000110110010
88485,001001101001101100100
88645,111101101010100000110
88805,001001101001011011100
88965,111101100000110110110
89125,001001100111010111000
89285,111101011010100000000
89445,001001100011011111000
89605,111101010010110001000
89765,001001100011000101000
89925,111101001011010110100
90085,001001100000100001100
90245,111101000011110110000
90405,001001011110001110000
90565,111100111100011111100
90725,001001011011111000000
90885,111100110101000110100
91045,001001011001011010100
91205,111100101101011110100
91365,001001010111001001000
91525,111100100110011010000
91685,001001010100001000100
91845,111100011111000010100
92005,001001010001101101000
92165,111100010111111010010
92325,001001001110110100100
92485,111100010000100100110
92645,001001001011110011000
92805,111100001001010111000
92965,001001001000110111100
93125,111100000010000011000
93285,001001000101110101000
93445,111011111011100000000
93605,001001000010100100100
93765,111011110100000100110
93925,001000111111011001100
94085,111011101100110000100
94245,001000111100000100100
94405,111011100101111110100
94565,001000111000101011100
94725,111011011111001010010
94885,001000110101000100100
95045,111011011000000010100
95205,001000110001101111000
95365,111011010001010001010
95525,001000101101111100100
95685,111011001010010111010
95845,001000101010000100000
96005,111011000011101001010
96165,001000100110010010100
96325,111010111101000001000
96485,001000100010010111100
96645,111010110110000011000
96805,001000011110101000100
96965,111010101111100011010
97125,001000011010010000000
97285,111010101001001010100
97445,001000010101111011000
97605,111010100010011111100
97765,001000010001110000100
97925,111010011100011010000
98085,001000001101101100100
98245,111010010101001000000
98405,001000001001000011000
98565,111010001111001011000
98725,001000000100110000000
98885,111010001000110100100
99045,000111111111111110100
99205,111010000010101011100
99365,000111111011010111100
99525,111001111100100001010
99685,000111110110110011100
99845,111001110110010100000
100005,000111110001111010000
100165,111001110000010001000
100325,000111101101000111000
100485,111001101010011101010
100645,000111101000011010000
100805,111001100100001100010
100965,000111100010101100100
101125,111001011101111110010
101285,000111011101111111000
101445,111001011000100001110
101605,000111011000110101000
101765,111001010010110101000
101925,000111010011100010000
102085,111001001101000100010
102245,000111001110100000100
102405,111001000111100001000
102565,000111001000110001100
102725,111001000001101010110
102885,000111000011100010000
103045,111000111100011001110
103205,000110111101111101000
103365,111000110110101111110
103525,000110111000100011000
103685,111000110001100111010
103845,000110110010101110000
104005,111000101100010010100
104165,000110101101001001100
104325,111000100110110001010
104485,000110100111010000100
104645,111000100010000001110
104805,000110100001010010100
104965,111000011100111000010
105125,000110011010110100000
105285,111000010111011110010
105445,000110010110100010000
105605,111000010010111000110
105765,000110001111010000100
105925,111000001101110110100
106085,000110001001101001100
106245,111000001001000010100
106405,000110000011011101000
106565,111000000100100001000
106725,000101111101000010000
106885,110111111111110011100
107045,000101110110110111000
107205,110111111011000110000
107365,000101110000001111100
107525,110111110110101101010
107685,000101101011010000100
107845,110111110010011011100
108005,000101100010101100000
108165,110111101101111010100
108325,000101011101101101100
108485,110111101001110100100
108645,000101010110100100100
108805,110111100101101011110
108965,000101010000001111100
109125,110111100001010110000
109285,000101001001100100000
109445,110111011101010010100
109605,000101000010110010000
109765,110111011001100111100
109925,000100111100000111100
110085,110111010101110000000
110245,000100110101011100100
110405,110111010001111001110
110565,000100101110010110000
110725,110111001110010101010
110885,000100100111100101100
111045,110111001010110100100
111205,000100100000110010100
111365,110111000111010100010
111525,000100011001110010000
111685,110111000011101110000
111845,000100010010110110000
112005,110111000000011110000
112165,000100001011110010000
112325,110110111101001101100
112485,000100000100101001100
112645,110110111010000011110
112805,000011111101100100000
112965,110110110110111001000
113125,000011110110011000100
113285,110110110100000100110
113445,000011101111010001000
113605,110110110001001110100
113765,000011101000001000000
113925,110110101110010100010
114085,000011100000011101100
114245,110110101011100011110
114405,000011011001010100100
114565,110110101000111110110
114725,000011010010001001100
114885,110110100110100011000
115045,000011001010100001000
115205,110110100011111101110
115365,000011000011001101000
115525,110110100001101001100
115685,000010111011111010100
115845,110110011111011110100
116005,000010110100010110000
116165,110110011101001000010
116325,000010101101000011100
116485,110110011011001110100
116645,000010100101011010100
116805,110110011001010010010
116965,000010011101101111000
117125,110110010111000001100
117285,000010010110011111100
117445,110110010101101111000
117605,000010001110100001100
117765,110110010011101010000
117925,000010000111000101000
118085,110110010010010100000
118245,000001111111100100100
118405,110110010000100100100
118565,000001110111111001000
118725,110110001111001101110
118885,000001101111111101100
119045,110110001101110101110
119205,000001101000101101100
119365,110110001100110101110
119525,000001100000111000000
119685,110110001011011110000
119845,000001011001000001000
120005,110110001010100100100
120165,000001010001011101100
120325,110110001001010100010
120485,000001001001110111100
120645,110110001000110001000
120805,000001000001111011000
120965,110110001000000000100
121125,000000111010001110100
121285,110110000111000110110
121445,000000110010011000000
121605,110110000110100010100
121765,000000101010100011100
121925,110110000110001110100
122085,000000100010111100000
122245,110110000101110101100
122405,000000011011010011100
122565,110110000101101001100
122725,000000010011001110000
122885,110110000101010010100
123045,000000001011011111000
123205,110110000101010010100
123365,000000000011101001000
123525,110110000101001100100
123685,111111111011111100100
123845,110110000101010101100
124005,111111110011111100100
124165,110110000101100000100
124325,111111101100100000000
124485,110110000101111110100
124645,111111100100101101000
124805,110110000101111111100
124965,111111011100101101000
125125,110110000110110111110
125285,111111010101001000100
125445,110110000111001011110
125605,111111001101011001100
125765,110110000111111001010
125925,111111000101010110100
126085,110110001000101110000
126245,111110111101110001100
126405,110110001001101001000
126565,111110110110000011000
126725,110110001010010000110
126885,111110101110010110000
127045,110110001011101111000
127205,111110100110011011000
127365,110110001100101110100
127525,111110011111001110100
127685,110110001101110110100
127845,111110010110111000100
128005,110110001111010000000
128165,111110001111011111000
128325,110110010000101101110
128485,111110000111110101000
128645,110110010010010010010
128805,111110000000001101100
128965,110110010011101111010
129125,111101111000100111000
129285,110110010101101010110
129445,111101110000111011000
129605,110110010111111010010
129765,111101101001100000000
129925,110110011001100011110
130085,111101100001110101000
130245,110110011010011111110
130405,111101011010010111100
130565,110110011101001010100
130725,111101010010101110100
130885,110110011111011010100
131045,111101001011010111000
131205,110110100001110011100
131365,111101000011111010000
131525,110110100100001001010
131685,111100111100010111000
131845,110110100110011111110
132005,111100110101000110000
132165,110110101001000000100
132325,111100101101100011100
132485,110110101011101101000
132645,111100100110011110000
132805,110110101110011110110
132965,111100011110111000000
133125,110110110001001101010
133285,111100010111111010100
133445,110110110100010000100
133605,111100010000100001000
133765,110110110110111101010
133925,111100001001011000000
134085,110110111010000110110
134245,111100000001111111100
134405,110110111101010001010
134565,111011111011010100000
134725,110111000000101000100
134885,111011110100000010100
135045,110111000011111110000
135205,111011101101000100100
135365,110111000111010000110
135525,111011100101110010100
135685,110111001010111010110
135845,111011011110111010100
136005,110111001110010011000
136165,111011011000000011100
136325,110111010010000011110
136485,111011010001010011100
136645,110111010101110110010
136805,111011001010010001000
136965,110111011001101110100
137125,111011000011100110000
137285,110111011101100101110
137445,111010111100101111000
137605,110111100001100010000
137765,111010110110010011100
137925,110111100101110100000
138085,111010101111100111000
138245,110111101001110100110
138405,111010101001001001100
138565,110111101110010100110
138725,111010100010001011000
138885,110111110010010011110
139045,111010011100000001100
139205,110111110110110111110
139365,111010010101100001000
139525,110111111011011000110
139685,111010001111010110000
139845,110111111111110110100
140005,111010001000110010100
140165,111000000100101010110
140325,111010000010101110100
140485,111000001001001101000
140645,111001111100010111100
140805,111000001101111111010
140965,111001110110001011100
141125,111000010010111001100
141285,111001110000100010100
141445,111000011000010000010
141605,111001101010011000000
141765,111000011100011101100
141925,111001100100001101000
142085,111000100010000110110
142245,111001011110000100000
142405,111000100111000011110
142565,111001011000011001000
142725,111000101100010111010
142885,111001010010110000000
143045,111000110001110011010
143205,111001001100111100100
143365,111000110110111110000
143525,111001000111100001000
143685,111000111100011101010
143845,111001000001101101100
144005,111001000010000110010
144165,111000111100011001100
144325,111001000111011111100
144485,111000110110111101000
144645,111001001101001001110
144805,111000110001011001100
144965,111001010011000010100
145125,111000101100000000100
145285,111001011000101010000
145445,111000100110111011100
145605,111001011110101001100
145765,111000100001111111100
145925,111001100100001111110
146085,111000011100101011100
146245,111001101010100010110
146405,111000010111101111000
146565,111001110000011000000
146725,111000010010101111100
146885,111001110110011110110
147045,111000001101110110000
147205,111001111100101101000
147365,111000001001000011000
147525,111010000010110110110
147685,111000000100100011100
147845,111010001001000101000
148005,110111111111101001000
148165,111010001111010110110
148325,110111111011001110000
148485,111010010101101100110
148645,110111110110100111000
148805,111010011100000111000
148965,110111110010001000100
149125,111010100010111011110
149285,110111101110000100100
149445,111010101001001100110
149605,110111101001101001100
149765,111010101111111001100
149925,110111100101011111100
150085,111010110110011111000
150245,110111100001101011100
150405,111010111101000100010
150565,110111011101100101000
150725,111011000011110001110
150885,110111011001100001100
151045,111011001010100101000
151205,110111010101101111100
151365,111011010001100001000
151525,110111010001111011100
151685,111011011000010101100
151845,110111001110001001000
152005,111011011111001011100
152165,110111001010110011000
